"nodeId","published","edited"
"1104","True","False"
"1105","True","False"
"1106","True","False"
"1107","True","False"
"1108","True","False"
"1109","True","False"
"1110","True","False"
"1111","True","False"
"1112","True","False"
"1113","True","False"
"1114","True","False"
"1115","True","False"
"1116","True","False"
"1117","True","False"
"1118","True","False"
"1119","True","False"
"1120","True","False"
"1121","True","False"
"1122","True","False"
"1123","True","False"
"1124","True","False"
"1125","True","False"
"1126","True","False"
"1127","True","False"
