"id","userId","NodeId","entityType","Datestamp","logHeader","logComment","parameters"
"1","-1","-1","Package","2020-10-17 21:56:12","PackagerInstall","Package files installed for package 'The Starter Kit'.",""
"2","-1","1048","DataType","2020-10-17 21:56:27","Save","",""
"3","-1","-1","DataType","2020-10-17 21:56:27","Save","",""
"4","-1","-1","Macro","2020-10-17 21:56:27","Save","",""
"5","-1","-1","Macro","2020-10-17 21:56:27","Save","",""
"6","-1","-1","Template","2020-10-17 21:56:27","Save","",""
"7","-1","-1","DocumentType","2020-10-17 21:56:28","Save","",""
"8","-1","-1","DocumentType","2020-10-17 21:56:28","Save","",""
"9","","-1","Document","2020-10-17 21:56:29","Save","Saved multiple content",""
"10","-1","1101","DocumentType","2020-10-17 21:56:30","Save","",""
"11","-1","1083","Template","2020-10-17 21:56:30","Save","",""
"12","-1","1081","Template","2020-10-17 21:56:30","Save","",""
"13","-1","1082","Template","2020-10-17 21:56:30","Save","",""
"14","-1","1083","Template","2020-10-17 21:56:30","Save","",""
"15","-1","1084","Template","2020-10-17 21:56:30","Save","",""
"16","-1","1085","Template","2020-10-17 21:56:30","Save","",""
"17","-1","1087","Template","2020-10-17 21:56:30","Save","",""
"18","-1","1088","Template","2020-10-17 21:56:30","Save","",""
"19","-1","1089","Template","2020-10-17 21:56:30","Save","",""
"20","-1","1090","Template","2020-10-17 21:56:30","Save","",""
"21","-1","1128","Media","2020-10-17 21:56:31","Save","",""
"22","-1","1129","Media","2020-10-17 21:56:31","Save","",""
"23","-1","1130","Media","2020-10-17 21:56:31","Save","",""
"24","-1","1131","Media","2020-10-17 21:56:32","Save","",""
"25","-1","1132","Media","2020-10-17 21:56:32","Save","",""
"26","-1","1133","Media","2020-10-17 21:56:32","Save","",""
"27","-1","1134","Media","2020-10-17 21:56:32","Save","",""
"28","-1","1135","Media","2020-10-17 21:56:33","Save","",""
"29","-1","1136","Media","2020-10-17 21:56:33","Save","",""
"30","-1","1137","Media","2020-10-17 21:56:33","Save","",""
"31","-1","1138","Media","2020-10-17 21:56:34","Save","",""
"32","-1","1139","Media","2020-10-17 21:56:34","Save","",""
"33","-1","1140","Media","2020-10-17 21:56:34","Save","",""
"34","-1","1141","Media","2020-10-17 21:56:35","Save","",""
"35","-1","1142","Media","2020-10-17 21:56:35","Save","",""
"36","-1","1143","Media","2020-10-17 21:56:35","Save","",""
"37","-1","1144","Media","2020-10-17 21:56:36","Save","",""
"38","-1","1120","Document","2020-10-17 21:56:36","Save","",""
"39","-1","1125","Document","2020-10-17 21:56:36","Save","",""
"40","-1","1104","Document","2020-10-17 21:56:36","Publish","",""
"41","-1","1105","Document","2020-10-17 21:56:36","Publish","",""
"42","-1","1106","Document","2020-10-17 21:56:36","Publish","",""
"43","-1","1107","Document","2020-10-17 21:56:36","Publish","",""
"44","-1","1108","Document","2020-10-17 21:56:36","Publish","",""
"45","-1","1109","Document","2020-10-17 21:56:36","Publish","",""
"46","-1","1110","Document","2020-10-17 21:56:37","Publish","",""
"47","-1","1111","Document","2020-10-17 21:56:37","Publish","",""
"48","-1","1112","Document","2020-10-17 21:56:37","Publish","",""
"49","-1","1113","Document","2020-10-17 21:56:37","Publish","",""
"50","-1","1114","Document","2020-10-17 21:56:37","Publish","",""
"51","-1","1115","Document","2020-10-17 21:56:37","Publish","",""
"52","-1","1116","Document","2020-10-17 21:56:37","Publish","",""
"53","-1","1117","Document","2020-10-17 21:56:37","Publish","",""
"54","-1","1118","Document","2020-10-17 21:56:37","Publish","",""
"55","-1","1119","Document","2020-10-17 21:56:37","Publish","",""
"56","-1","1120","Document","2020-10-17 21:56:37","Publish","",""
"57","-1","1121","Document","2020-10-17 21:56:37","Publish","",""
"58","-1","1122","Document","2020-10-17 21:56:37","Publish","",""
"59","-1","1123","Document","2020-10-17 21:56:37","Publish","",""
"60","-1","1124","Document","2020-10-17 21:56:37","Publish","",""
"61","-1","1125","Document","2020-10-17 21:56:37","Publish","",""
"62","-1","1126","Document","2020-10-17 21:56:37","Publish","",""
"63","-1","1127","Document","2020-10-17 21:56:37","Publish","",""
"64","-1","1104","Document","2020-10-17 21:56:37","Publish","Branch published",""
"65","-1","-1","Package","2020-10-17 21:56:37","PackagerInstall","Package data installed for package 'The Starter Kit'.",""
